                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.3959,                0.58578,                      1,                 8.6169,               0.070194,              0.0033118,              0.0033118
                      1,                 5.2537,                0.63671,                      1,                 8.6121,               0.040128,              0.0065794,              0.0065794
                      2,                 5.1909,                0.58121,                      1,                 8.5891,               0.009996,              0.0097809,              0.0097809
                      3,                 5.0829,                0.60452,                      1,                  8.527,               0.009703,               0.009703,               0.009703
                      4,                  4.919,                 0.7112,                      1,                 7.7585,               0.009703,               0.009703,               0.009703
                      5,                 4.4664,                0.76862,                      1,                 7.5757,               0.009604,               0.009604,               0.009604
                      6,                 4.0698,                 0.8186,                      1,                 6.6486,               0.009505,               0.009505,               0.009505
                      7,                 3.8222,                0.83013,                      1,                 6.3911,               0.009406,               0.009406,               0.009406
                      8,                 3.6811,                0.84623,                      1,                 6.2779,               0.009307,               0.009307,               0.009307
                      9,                 3.5939,                0.84791,                      1,                 6.1614,               0.009208,               0.009208,               0.009208
                     10,                 3.5058,                0.85536,                      1,                 6.0693,               0.009109,               0.009109,               0.009109
                     11,                 3.4128,                0.86857,                      1,                 5.9351,                0.00901,                0.00901,                0.00901
                     12,                 3.3802,                0.85896,                      1,                 6.0703,               0.008911,               0.008911,               0.008911
                     13,                   3.31,                0.84959,                      1,                 6.0569,               0.008812,               0.008812,               0.008812
                     14,                 3.2372,                0.78111,                      1,                 6.8461,               0.008713,               0.008713,               0.008713
                     15,                 3.2108,                0.90485,                      1,                 5.5184,               0.008614,               0.008614,               0.008614
                     16,                 3.1682,                0.89716,                      1,                 5.6549,               0.008515,               0.008515,               0.008515
                     17,                 3.1248,                0.88611,                      1,                 5.6647,               0.008416,               0.008416,               0.008416
                     18,                 3.0998,                0.89284,                      1,                 5.5219,               0.008317,               0.008317,               0.008317
                     19,                 3.0506,                0.91062,                      1,                 5.4323,               0.008218,               0.008218,               0.008218
                     20,                 3.0193,                0.90822,                      1,                 5.3484,               0.008119,               0.008119,               0.008119
                     21,                 3.0009,                0.91591,                      1,                 5.2606,                0.00802,                0.00802,                0.00802
                     22,                 2.9543,                0.91999,                      1,                 5.2103,               0.007921,               0.007921,               0.007921
                     23,                 2.9313,                0.91278,                      1,                 5.3881,               0.007822,               0.007822,               0.007822
                     24,                 2.8859,                0.92407,                      1,                 5.1685,               0.007723,               0.007723,               0.007723
                     25,                 2.8762,                0.92095,                      1,                 5.1795,               0.007624,               0.007624,               0.007624
                     26,                 2.8339,                0.92984,                      1,                  5.108,               0.007525,               0.007525,               0.007525
                     27,                 2.8228,                0.92864,                      1,                 5.1664,               0.007426,               0.007426,               0.007426
                     28,                 2.8043,                0.93056,                      1,                 5.1173,               0.007327,               0.007327,               0.007327
                     29,                 2.7594,                0.94017,                      1,                 5.0049,               0.007228,               0.007228,               0.007228
                     30,                 2.7637,                0.94185,                      1,                 4.9965,               0.007129,               0.007129,               0.007129
                     31,                 2.7239,                0.94882,                      1,                 4.8774,                0.00703,                0.00703,                0.00703
                     32,                 2.6918,                 0.9445,                      1,                 4.9122,               0.006931,               0.006931,               0.006931
                     33,                 2.6984,                0.94906,                      1,                 4.8653,               0.006832,               0.006832,               0.006832
                     34,                 2.6507,                 0.9493,                      1,                 4.8853,               0.006733,               0.006733,               0.006733
                     35,                 2.6436,                0.94978,                      1,                 4.8471,               0.006634,               0.006634,               0.006634
                     36,                 2.6444,                0.95267,                      1,                 4.8067,               0.006535,               0.006535,               0.006535
                     37,                 2.5989,                0.95147,                      1,                 4.7835,               0.006436,               0.006436,               0.006436
                     38,                 2.6012,                0.95315,                      1,                 4.8159,               0.006337,               0.006337,               0.006337
                     39,                 2.5365,                0.95843,                      1,                 4.7298,               0.006238,               0.006238,               0.006238
                     40,                 2.5692,                0.95459,                      1,                 4.7394,               0.006139,               0.006139,               0.006139
                     41,                 2.5167,                0.96156,                      1,                 4.6781,                0.00604,                0.00604,                0.00604
                     42,                 2.5246,                0.96204,                      1,                 4.6442,               0.005941,               0.005941,               0.005941
                     43,                 2.5085,                0.96108,                      1,                 4.6867,               0.005842,               0.005842,               0.005842
                     44,                 2.4857,                0.95963,                      1,                 4.6825,               0.005743,               0.005743,               0.005743
                     45,                 2.4798,                0.96708,                      1,                 4.6052,               0.005644,               0.005644,               0.005644
                     46,                 2.4229,                 0.9666,                      1,                  4.574,               0.005545,               0.005545,               0.005545
                     47,                 2.4381,                0.96636,                      1,                 4.6034,               0.005446,               0.005446,               0.005446
                     48,                  2.402,                0.96732,                      1,                   4.56,               0.005347,               0.005347,               0.005347
                     49,                 2.4287,                0.96925,                      1,                  4.548,               0.005248,               0.005248,               0.005248
                     50,                 2.3834,                0.97069,                      1,                 4.5258,               0.005149,               0.005149,               0.005149
                     51,                 2.3778,                0.97213,                      1,                 4.5395,                0.00505,                0.00505,                0.00505
                     52,                 2.3429,                0.97093,                      1,                  4.513,               0.004951,               0.004951,               0.004951
                     53,                 2.2987,                0.97405,                      1,                  4.508,               0.004852,               0.004852,               0.004852
                     54,                 2.3226,                0.97069,                      1,                 4.5243,               0.004753,               0.004753,               0.004753
                     55,                 2.3072,                0.97045,                      1,                 4.5249,               0.004654,               0.004654,               0.004654
                     56,                 2.3048,                0.97453,                      1,                 4.4927,               0.004555,               0.004555,               0.004555
                     57,                 2.2935,                0.97213,                      1,                 4.4828,               0.004456,               0.004456,               0.004456
                     58,                 2.2666,                0.97309,                      1,                 4.4873,               0.004357,               0.004357,               0.004357
                     59,                  2.254,                0.97213,                      1,                 4.4818,               0.004258,               0.004258,               0.004258
                     60,                 2.2279,                0.97189,                      1,                   4.47,               0.004159,               0.004159,               0.004159
                     61,                  2.209,                0.97453,                      1,                 4.4533,                0.00406,                0.00406,                0.00406
                     62,                  2.193,                 0.9779,                      1,                 4.4305,               0.003961,               0.003961,               0.003961
                     63,                 2.1824,                0.97621,                      1,                 4.4309,               0.003862,               0.003862,               0.003862
                     64,                  2.175,                0.97814,                      1,                   4.43,               0.003763,               0.003763,               0.003763
                     65,                 2.1548,                0.97862,                      1,                 4.4198,               0.003664,               0.003664,               0.003664
                     66,                 2.1453,                 0.9791,                      1,                 4.4114,               0.003565,               0.003565,               0.003565
                     67,                 2.1573,                0.97838,                      1,                 4.4102,               0.003466,               0.003466,               0.003466
                     68,                 2.1214,                0.97958,                      1,                 4.3913,               0.003367,               0.003367,               0.003367
                     69,                 2.0798,                0.97958,                      1,                 4.3974,               0.003268,               0.003268,               0.003268
                     70,                  2.067,                0.97934,                      1,                  4.391,               0.003169,               0.003169,               0.003169
                     71,                 2.0567,                0.97958,                      1,                 4.3848,                0.00307,                0.00307,                0.00307
                     72,                 2.0294,                0.98126,                      1,                 4.3674,               0.002971,               0.002971,               0.002971
                     73,                 2.0508,                0.98102,                      1,                 4.3634,               0.002872,               0.002872,               0.002872
                     74,                 2.0297,                0.98174,                      1,                 4.3656,               0.002773,               0.002773,               0.002773
                     75,                 2.0016,                0.98318,                      1,                 4.3564,               0.002674,               0.002674,               0.002674
                     76,                   1.98,                0.98246,                      1,                 4.3524,               0.002575,               0.002575,               0.002575
                     77,                 1.9697,                0.98126,                      1,                 4.3546,               0.002476,               0.002476,               0.002476
                     78,                 1.9277,                0.98342,                      1,                 4.3408,               0.002377,               0.002377,               0.002377
                     79,                 1.9377,                0.98294,                      1,                 4.3363,               0.002278,               0.002278,               0.002278
                     80,                 1.8853,                0.98294,                      1,                 4.3355,               0.002179,               0.002179,               0.002179
                     81,                 1.8711,                0.98366,                      1,                 4.3301,                0.00208,                0.00208,                0.00208
                     82,                 1.8593,                0.98438,                      1,                 4.3262,               0.001981,               0.001981,               0.001981
                     83,                  1.845,                 0.9851,                      1,                 4.3219,               0.001882,               0.001882,               0.001882
                     84,                 1.8015,                0.98534,                      1,                 4.3163,               0.001783,               0.001783,               0.001783
                     85,                 1.7988,                 0.9863,                      1,                 4.3104,               0.001684,               0.001684,               0.001684
                     86,                 1.7558,                0.98606,                      1,                 4.3082,               0.001585,               0.001585,               0.001585
                     87,                 1.7396,                0.98558,                      1,                 4.3032,               0.001486,               0.001486,               0.001486
                     88,                 1.7327,                0.98582,                      1,                 4.3001,               0.001387,               0.001387,               0.001387
                     89,                 1.6905,                0.98606,                      1,                 4.2961,               0.001288,               0.001288,               0.001288
                     90,                 1.6703,                0.98679,                      1,                 4.2916,               0.001189,               0.001189,               0.001189
                     91,                 1.6434,                0.98606,                      1,                 4.2878,                0.00109,                0.00109,                0.00109
                     92,                 1.6202,                0.98654,                      1,                 4.2848,               0.000991,               0.000991,               0.000991
                     93,                 1.5861,                0.98703,                      1,                 4.2811,               0.000892,               0.000892,               0.000892
                     94,                 1.5559,                0.98775,                      1,                 4.2785,               0.000793,               0.000793,               0.000793
                     95,                  1.526,                0.98775,                      1,                 4.2753,               0.000694,               0.000694,               0.000694
                     96,                 1.5021,                0.98751,                      1,                 4.2735,               0.000595,               0.000595,               0.000595
                     97,                 1.4809,                0.98775,                      1,                 4.2725,               0.000496,               0.000496,               0.000496
                     98,                 1.4292,                0.98775,                      1,                 4.2694,               0.000397,               0.000397,               0.000397
                     99,                 1.3988,                0.98799,                      1,                 4.2668,               0.000298,               0.000298,               0.000298
